Name,API pool id,Protocol,Protocol TVL ($m),Chain,Comparable Pool?,Pool TVL ($m),1Y Avg. TVL ($m),TVL % Change M/M,TVL % Change Q/Q,TVL % Change (7d),APY % Change (7d),APY % Change (30d),Current APY (%),30d avg. APY (%),Base APY (%),Reward APY (%),1Y Avg. APY (%),ETH TVL % Change (7d),ETH TVL % Change M/M,ETH TVL % Change Q/Q
EUSD,381b00d5-b4f8-489c-95cb-40018c72bdd3,Reserve,$34m,Ethereum,No,$18m,$19m,(4.94%),(1.66%),0.08%,,,0.00%,0.00%,0.00%,0.00%,0.00%,6.32%,38.76%,71.33%
HYUSD,3378bced-4bde-4ccf-b742-7d5c8ebb7720,Reserve,$34m,Ethereum,No,$1m,$2m,0.07%,(17.76%),0.01%,2.90%,(10.10%),3.71%,3.54%,3.71%,0.00%,4.75%,6.32%,38.76%,71.33%
DAI,c8a24fee-ec00-4f38-86c0-9f6daebc4225,MakerDAO,"$6,403m",Ethereum,No,"$1,177m",$716m,(16.19%),(26.82%),2.35%,0.00%,0.00%,5.00%,5.00%,0.00%,0.00%,3.12%,6.32%,38.76%,71.33%
FRAX-USDC,3f6aa14f-eb0c-4738-bf74-8bc666f7d2b1,Curve DEX,"$2,092m",Ethereum,Yes,$58m,$403m,(22.67%),(56.11%),(0.30%),(6.95%),54.44%,1.62%,2.27%,0.11%,1.51%,1.90%,6.32%,38.76%,71.33%
FRAX-USDC,bd072651-d99c-4154-aeae-51f12109c054,Convex Finance,"$1,728m",Ethereum,Yes,$36m,$336m,(28.45%),(60.07%),9.06%,(50.96%),(13.65%),2.43%,3.57%,0.11%,2.32%,3.22%,6.32%,38.76%,71.33%
DAI-USDC-USDT-SUSD,985b3a44-495f-4250-bde3-7b2299036e3e,Curve DEX,"$2,092m",Ethereum,No,$15m,$46m,(4.77%),(15.40%),(4.98%),(12.94%),(68.81%),0.17%,0.59%,0.11%,0.06%,2.03%,6.32%,38.76%,71.33%
USDC,cefa9bb8-c230-459a-a855-3b94e96acd8c,Compound V2,"$1,034m",Ethereum,No,$31m,$206m,(8.78%),(16.51%),(15.13%),68.57%,(2.76%),5.14%,3.99%,5.14%,0.00%,2.98%,6.32%,38.76%,71.33%
USDC,c89af47f-032a-4c59-bdc9-17a7f1514a3b,Goldfinch,$4m,Ethereum,No,$63m,$77m,(0.32%),(20.49%),(0.03%),(0.16%),(0.09%),8.14%,8.16%,8.14%,0.00%,11.85%,6.32%,38.76%,71.33%
DAI,cc110152-36c2-4e10-9c12-c5b4eb662143,Compound V2,"$1,034m",Ethereum,No,$41m,$171m,6.10%,(22.09%),(1.30%),0.73%,(30.62%),3.80%,5.37%,3.32%,0.47%,2.94%,6.32%,38.76%,71.33%
USDT,60d657c9-5f63-4771-a85b-2cf8d507ec00,AAVE V2,"$2,337m",Ethereum,No,$34m,$91m,5.55%,(23.59%),7.19%,(29.11%),(47.97%),6.87%,6.35%,6.87%,0.00%,3.50%,6.32%,38.76%,71.33%
USDT,57647093-2868-4e65-97ab-9cae8ec74e7d,Compound V2,"$1,034m",Ethereum,No,$37m,$84m,(0.34%),(37.62%),9.08%,(24.64%),5.60%,6.52%,7.73%,6.52%,0.00%,3.55%,6.32%,38.76%,71.33%
DAI,e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,Spark,"$3,160m",Ethereum,No,$38m,$28m,(41.29%),(25.13%),13.80%,0.70%,18.20%,6.08%,5.82%,6.08%,0.00%,3.63%,6.32%,38.76%,71.33%
ALUSD-FRAXBP,c6226295-5d9f-4d51-bc9b-280f9d6a7594,Convex Finance,"$1,728m",Ethereum,Yes,$30m,$39m,(27.11%),(30.72%),(17.83%),37.26%,20.27%,10.77%,7.91%,0.31%,10.46%,7.46%,6.32%,38.76%,71.33%
ALUSD-FRAXBP,71a56b67-3123-4820-a30f-fac238de441c,Curve DEX,"$2,092m",Ethereum,Yes,$30m,$40m,(20.49%),(24.11%),(10.18%),28.36%,21.30%,6.86%,4.86%,0.31%,6.55%,4.62%,6.32%,38.76%,71.33%
USDC,c24d9138-51aa-48f4-a445-7f33bf7bf5fb,Stargate,$305m,Ethereum,No,$26m,$46m,(13.50%),(25.99%),23.84%,(18.51%),38.53%,9.23%,7.96%,0.00%,9.23%,4.81%,6.32%,38.76%,71.33%
USDT,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,AAVE V3,"$6,043m",Ethereum,No,$91m,$39m,74.94%,40.99%,72.21%,(58.75%),(66.21%),4.35%,6.77%,4.35%,0.00%,4.49%,6.32%,38.76%,71.33%
USDC,a349fea4-d780-4e16-973e-70ca9b606db2,AAVE V2,"$2,337m",Ethereum,No,$25m,$181m,6.06%,(20.71%),12.73%,(41.30%),(21.49%),11.28%,6.55%,11.28%,0.00%,3.16%,6.32%,38.76%,71.33%
USDT,ab8a1d61-fd57-4ebf-b926-7c9da9028f0f,Stargate,$305m,Ethereum,No,$20m,$45m,(42.12%),(40.05%),(1.52%),9.02%,120.26%,11.80%,8.50%,0.00%,11.80%,5.55%,6.32%,38.76%,71.33%
