Name,API pool id,Protocol,Protocol TVL ($m),Chain,Comparable Pool?,Pool TVL ($m),1Y Avg. TVL ($m),TVL % Change M/M,TVL % Change Q/Q,TVL % Change (7d),APY % Change (7d),APY % Change (30d),Current APY (%),30d avg. APY (%),Base APY (%),Reward APY (%),1Y Avg. APY (%),ETH TVL % Change (7d),ETH TVL % Change M/M,ETH TVL % Change Q/Q
ETH+,4e6cd326-72d5-4680-8d2f-3481d50e8bb1,Reserve,$31m,Ethereum,No,$8m,$3m,87.27%,109.46%,27.95%,0.87%,(5.05%),3.12%,3.12%,3.12%,0.00%,3.35%,22.99%,21.57%,58.36%
ETH+-ETH,5a046093-29fc-4ecb-b90e-daccda151b5b,Curve DEX,"$1,958m",Ethereum,Yes,$5m,$5m,(38.71%),(27.68%),(14.36%),19.22%,34.20%,6.73%,5.37%,0.01%,6.72%,6.59%,22.99%,21.57%,58.36%
ETH+-ETH,74346f6f-c7ee-4506-a204-baf48e13decb,Convex Finance,"$1,718m",Ethereum,Yes,$3m,$4m,(42.52%),(28.29%),(16.94%),32.23%,67.63%,16.27%,10.76%,0.01%,16.26%,12.96%,22.99%,21.57%,58.36%
ETH+-eUSD-RSR,28c0ad15-ecaf-4b14-8ad6-06ded47566b1,Curve DEX,"$1,958m",Ethereum,No,$3m,$3m,(0.20%),5.43%,9.36%,141.67%,26.09%,0.29%,0.28%,0.29%,0.00%,0.53%,22.99%,21.57%,58.36%
RSR-WETH,7e308dcf-b3da-48dc-82ba-5ae630c5d2f4,Uniswap V3,"$2,705m",Ethereum,No,$0m,$0m,(7.08%),3.88%,11.01%,,,0.00%,0.00%,0.00%,0.00%,0.00%,22.99%,21.57%,58.36%
CRVUSD+ETH+CRV,8af7c9fb-2736-4744-92d7-6a5b7afd13f7,Concentrator,$51m,Ethereum,No,$1m,$1m,(4.69%),16.77%,3.42%,(25.27%),42.89%,35.31%,29.55%,0.00%,0.00%,25.23%,22.99%,21.57%,58.36%
USDC+-ETH+-SDT,d62b82b1-c4c8-41e0-99f9-69102f552e45,Curve DEX,"$1,958m",Ethereum,No,$0m,$0m,,,,,,8.12%,9.61%,0.00%,8.12%,9.46%,22.99%,21.57%,58.36%
RSR-WETH,207aa997-9996-4e69-bd8c-002270ed852d,Balancer V2,$965m,Ethereum,No,$1m,$1m,(4.33%),,9.95%,,(21.57%),0.48%,0.39%,0.48%,0.00%,1.09%,22.99%,21.57%,58.36%
ETHX,90bfb3c2-5d35-4959-a275-ba5085b08aa3,Stader,$505m,Ethereum,No,$331m,$97m,67.18%,292.43%,19.40%,(10.57%),(29.23%),2.46%,3.42%,2.46%,0.00%,3.43%,22.99%,21.57%,58.36%
ETH-STETH,57d30b9c-fc66-4ac2-b666-69ad5f410cce,Curve DEX,"$1,958m",Ethereum,No,$228m,$865m,(5.62%),5.49%,4.29%,(0.00%),(7.57%),1.71%,1.85%,1.71%,0.00%,4.13%,22.99%,21.57%,58.36%
ETH-STETH,5ce23e7e-3800-4c9c-ad30-6db3db0515a1,Convex Finance,"$1,718m",Ethereum,No,$138m,$471m,(0.13%),9.32%,9.48%,0.05%,(13.61%),3.07%,3.29%,1.73%,1.34%,4.87%,22.99%,21.57%,58.36%
ETH,e72916f7-a2d1-47ad-a4b9-2b054337cfd6,Instadapp,"$2,374m",Ethereum,No,$78m,$65m,(18.11%),(4.09%),2.40%,6.85%,5.50%,7.85%,7.68%,0.00%,0.00%,7.27%,22.99%,21.57%,58.36%
ETH-STETH,08eaf098-4957-4922-bfca-cc0c46505a43,Curve DEX,"$1,958m",Ethereum,Yes,$93m,$72m,(21.29%),(16.93%),4.37%,(6.50%),(5.99%),2.79%,3.28%,2.07%,0.72%,3.64%,22.99%,21.57%,58.36%
ETH-STETH,e378a7c2-6285-4993-9397-87ac9c8adc15,Convex Finance,"$1,718m",Ethereum,Yes,$85m,$70m,(22.91%),(15.94%),4.16%,0.49%,(1.68%),3.48%,3.76%,2.07%,1.41%,4.45%,22.99%,21.57%,58.36%
ETH,85c57261-b75b-4447-a115-d79b1a7de8ed,Compound V3,"$1,343m",Ethereum,No,$62m,$34m,53.43%,77.92%,30.79%,(9.97%),(20.06%),2.30%,2.44%,1.25%,1.06%,2.82%,22.99%,21.57%,58.36%
ETH-OETH,18cb2d80-422e-4d0d-a223-66a307f06d8d,Curve DEX,"$1,958m",Ethereum,Yes,$47m,$37m,178.85%,31.78%,30.28%,(20.54%),(55.95%),2.85%,4.37%,0.00%,2.85%,3.80%,22.99%,21.57%,58.36%
ETH-OETH,b3a55ca0-e3fa-4888-be44-9abf91a33dc9,Convex Finance,"$1,718m",Ethereum,Yes,$46m,$39m,180.08%,38.10%,30.35%,(14.05%),(10.00%),4.33%,5.22%,0.04%,4.29%,7.51%,22.99%,21.57%,58.36%
ETH-FRXETH,1158e728-ec4c-44e4-9345-0eb326862516,Curve DEX,"$1,958m",Ethereum,No,$37m,$92m,(8.69%),(29.10%),4.21%,(25.58%),(34.18%),0.56%,0.83%,0.06%,0.50%,1.72%,22.99%,21.57%,58.36%
ETH-FRXETH,6d342d6a-9796-443e-8152-b94e8b6021fc,Convex Finance,"$1,718m",Ethereum,No,$35m,$97m,(8.13%),(25.21%),4.03%,(1.04%),(24.27%),1.28%,1.47%,0.06%,1.22%,2.93%,22.99%,21.57%,58.36%
